Date,Open,High,Low,Close,Volume,MarketCap
15-Sep-19,10356.47,10387.03,10313.09,10347.71,12043433567,1.86E+11
16-Sep-19,10347.22,10386.87,10189.74,10276.79,15160167779,1.84E+11
17-Sep-19,10281.51,10296.77,10199.74,10241.27,15304603363,1.84E+11
18-Sep-19,10247.8,10275.93,10191.47,10198.25,16169268880,1.83E+11
19-Sep-19,10200.5,10295.67,9851.69,10266.41,19937691247,1.84E+11
20-Sep-19,10266.32,10285.87,10132.19,10181.64,14734189639,1.83E+11
21-Sep-19,10183.65,10188.1,10000.71,10019.72,13425266806,1.80E+11
22-Sep-19,10024.12,10074.44,9922.53,10070.39,13199651698,1.81E+11
23-Sep-19,10067.96,10074.24,9727.14,9729.32,15144925408,1.75E+11
24-Sep-19,9729.32,9804.32,8370.8,8620.57,25002886689,1.55E+11
25-Sep-19,8603.43,8744.83,8325.4,8486.99,21744728353,1.52E+11
26-Sep-19,8487.67,8515.69,7895.63,8118.97,19258205289,1.46E+11
27-Sep-19,8113.1,8271.52,7965.92,8251.85,16408941156,1.48E+11
28-Sep-19,8251.27,8285.62,8125.43,8245.92,14141152736,1.48E+11
29-Sep-19,8246.04,8261.71,7990.5,8104.19,13034629109,1.46E+11
30-Sep-19,8104.23,8314.23,7830.76,8293.87,17115474183,1.49E+11
01-Oct-19,8299.72,8497.69,8232.68,8343.28,15305343413,1.50E+11
02-Oct-19,8344.21,8393.04,8227.7,8393.04,13125712443,1.51E+11
03-Oct-19,8390.77,8414.23,8146.44,8259.99,13668823409,1.48E+11
04-Oct-19,8259.49,8260.06,8151.24,8205.94,13139456229,1.47E+11
05-Oct-19,8210.15,8215.53,8071.12,8151.5,12200497197,1.47E+11
06-Oct-19,8149.88,8161.41,7958.85,7988.16,13160830305,1.44E+11
07-Oct-19,7989.12,8308.45,7905.77,8245.62,18009742607,1.48E+11
08-Oct-19,8246.85,8332.72,8185.76,8228.78,15592264032,1.48E+11
09-Oct-19,8229.84,8627.71,8169.3,8595.74,19384942333,1.55E+11
10-Oct-19,8585.28,8625.27,8471.93,8586.47,17618660671,1.54E+11
11-Oct-19,8585.26,8721.78,8316.18,8321.76,19604381101,1.50E+11
